variant,weights,result,final_loss,val_map_50_95
yolo1,yolo1,PASS,2.16319,0.0136337
yolo2,data/yolo2.pt,PASS,5.15028,0.415676
yolo2-tiny,data/yolo2-tiny-voc.pt,PASS,7.61893,0.0633712
yolo3u,yolo3u.pt,PASS,423.932,0.0424158
yolo4,data/yolo4.pt,PASS,0.471968,0.294263
yolo5n,data/yolo5n.pt,PASS,180.196,0.0397877
yolo5s,data/yolo5s.pt,PASS,459.788,0.0360132
yolo5m,data/yolo5m.pt,PASS,535.367,0.0638184
yolo5l,data/yolo5l.pt,PASS,433.264,0.0173766
yolo5x,data/yolo5x.pt,PASS,227.608,0.000297822
yolo6n,yolo6n.pt,PASS,19.5527,0.224309
yolo6s,yolo6s.pt,PASS,23.8315,0.255095
yolo6m,yolo6m.pt,PASS,15.166,0.54034
yolo6l,yolo6l.pt,PASS,14.135,0.53425
yolo6s_mbla,yolo6s_mbla.pt,PASS,12.5,0.449368
yolo6m_mbla,yolo6m_mbla.pt,PASS,11.5198,0.46013
yolo6l_mbla,yolo6l_mbla.pt,PASS,13.1875,0.521607
yolo6x_mbla,yolo6x_mbla.pt,PASS,9.07643,0.351958
yolo6n6,yolo6n6.pt,PASS,131.467,0.0163565
yolo6s6,yolo6s6.pt,PASS,122.207,0.0273816
yolo6m6,yolo6m6.pt,PASS,85.934,0.516899
yolo6l6,yolo6l6.pt,PASS,54.3418,0.0351279
yolo7,yolo7.pt,PASS,0.827297,0.156722
yolo7-tiny,yolo7-tiny.pt,PASS,0.737721,0.139114
yolo7x,yolo7x.pt,PASS,0.919924,0.139028
yolo8n,data/yolo8n.pt,PASS,177.463,0.0304115
yolo8s,data/yolo8s.pt,PASS,501.287,0.0580874
yolo8m,data/yolo8m.pt,PASS,388.027,0.0481123
yolo8l,data/yolo8l.pt,PASS,440.011,0.0131673
yolo8x,data/yolo8x.pt,PASS,231.111,0.0148529
yolo9t,yolo9t.pt,PASS,175.725,0.0122257
yolo9s,yolo9s.pt,PASS,351.537,0.00399211
yolo9m,yolo9m.pt,PASS,359.696,0.0103485
yolo9c,yolo9c.pt,PASS,399.585,0.0135002
yolo9e,yolo9e.pt,PASS,323.198,0.0165095
yolo10n,yolo10n.pt,PASS,182.183,0.00577681
yolo10s,yolo10s.pt,PASS,337.783,0.0220175
yolo10m,yolo10m.pt,PASS,334.232,0.0635036
yolo10b,yolo10b.pt,PASS,448.498,0.0243984
yolo10l,yolo10l.pt,PASS,317.888,0.00333243
yolo10x,yolo10x.pt,PASS,275.21,0.00878963
yolo11n,data/yolo11n.pt,PASS,168.228,0.0139734
yolo11s,data/yolo11s.pt,PASS,333.336,0.00361832
yolo11m,data/yolo11m.pt,PASS,393.687,0.00496319
yolo11l,data/yolo11l.pt,PASS,428.396,0.00293294
yolo11x,data/yolo11x.pt,PASS,225.158,0.00945461
yolo12n,data/yolo12n.pt,PASS,169.827,0.00249255
yolo12s,data/yolo12s.pt,PASS,628.821,0.0112938
yolo12m,data/yolo12m.pt,PASS,371.324,0.0322658
yolo12l,data/yolo12l.pt,PASS,406.089,0.00832551
yolo12x,data/yolo12x.pt,PASS,213.48,0.0628385
yolo13n,data/yolo13n.pt,PASS,172.921,0.0504436
yolo13s,data/yolo13s.pt,PASS,412.481,0.0428802
yolo13l,data/yolo13l.pt,PASS,472.943,0.00664943
yolo13x,data/yolo13x.pt,PASS,221.342,0.0452679
yolo26n,data/yolo26n.pt,PASS,157.245,0.054141
yolo26s,data/yolo26s.pt,PASS,166.833,0.236366
yolo26m,data/yolo26m.pt,PASS,75.9302,0.434311
yolo26l,data/yolo26l.pt,PASS,85.084,0.42588
yolo26x,data/yolo26x.pt,PASS,55.4032,0.46397
