run_id,mode,variant,epochs,batch,imgsz,seed,created
train/1,train,yolo11l,5,16,640,42,2026-06-03
train/2,train,yolo11m,5,16,640,42,2026-06-03
train/3,train,yolo11n,5,16,640,42,2026-06-03
train/4,train,yolo11s,5,16,640,42,2026-06-03
train/5,train,yolo11x,5,16,640,42,2026-06-03
train/6,train,yolo12l,5,16,640,42,2026-06-03
train/7,train,yolo12m,5,16,640,42,2026-06-03
train/8,train,yolo12n,5,16,640,42,2026-06-03
train/9,train,yolo12s,5,16,640,42,2026-06-03
train/10,train,yolo12x,5,16,640,42,2026-06-03
train/11,train,yolo13l,5,16,640,42,2026-06-03
train/12,train,yolo13n,5,16,640,42,2026-06-03
train/13,train,yolo13s,5,16,640,42,2026-06-03
train/14,train,yolo13x,5,8,640,42,2026-06-03
train/15,train,yolo5l,5,16,640,42,2026-06-03
train/16,train,yolo5m,5,16,640,42,2026-06-03
train/17,train,yolo5n,5,16,640,42,2026-06-03
train/18,train,yolo5s,5,16,640,42,2026-06-03
train/19,train,yolo5x,5,16,640,42,2026-06-03
train/20,train,yolo8l,5,16,640,42,2026-06-03
train/21,train,yolo8m,5,16,640,42,2026-06-03
train/22,train,yolo8n,5,16,640,42,2026-06-03
train/23,train,yolo8s,5,16,640,42,2026-06-03
train/24,train,yolo8x,5,16,640,42,2026-06-03
